lat,lon,sst_c,source,date,sst_f
33.71,-78.85,20.28,GOES19,2026-04-17,68.5
33.71,-78.83,20.29,GOES19,2026-04-17,68.52
33.71,-78.81,20.17,GOES19,2026-04-17,68.31
33.71,-78.79,19.98,GOES19,2026-04-17,67.96
33.71,-78.77,19.76,GOES19,2026-04-17,67.57
33.71,-78.75,19.44,GOES19,2026-04-17,66.99
33.71,-78.73,19.28,GOES19,2026-04-17,66.7
33.71,-78.71,19.15,GOES19,2026-04-17,66.47
33.71,-78.69,19.06,GOES19,2026-04-17,66.31
33.71,-78.67,18.99,GOES19,2026-04-17,66.18
33.71,-78.65,18.95,GOES19,2026-04-17,66.11
33.71,-78.63,18.91,GOES19,2026-04-17,66.04
33.71,-78.61,18.91,GOES19,2026-04-17,66.04
33.71,-78.59,18.93,GOES19,2026-04-17,66.07
33.71,-78.57,18.96,GOES19,2026-04-17,66.13
33.71,-78.55,18.98,GOES19,2026-04-17,66.16
33.71,-78.53,19.01,GOES19,2026-04-17,66.22
33.71,-78.51,19.04,GOES19,2026-04-17,66.27
33.71,-78.49,19.06,GOES19,2026-04-17,66.31
33.71,-78.47,19.08,GOES19,2026-04-17,66.34
33.71,-78.45,19.11,GOES19,2026-04-17,66.4
33.71,-78.43,19.15,GOES19,2026-04-17,66.47
33.71,-78.41,19.18,GOES19,2026-04-17,66.52
33.71,-78.39,19.2,GOES19,2026-04-17,66.56
33.71,-78.37,19.21,GOES19,2026-04-17,66.58
33.71,-78.35,19.21,GOES19,2026-04-17,66.58
33.71,-78.33,19.22,GOES19,2026-04-17,66.6
33.71,-78.31,19.24,GOES19,2026-04-17,66.63
33.71,-78.29,19.26,GOES19,2026-04-17,66.67
33.71,-78.27,19.29,GOES19,2026-04-17,66.72
33.71,-78.25,19.32,GOES19,2026-04-17,66.78
33.71,-78.23,19.36,GOES19,2026-04-17,66.85
33.71,-78.21,19.39,GOES19,2026-04-17,66.9
33.71,-78.19,19.41,GOES19,2026-04-17,66.94
33.71,-78.17,19.42,GOES19,2026-04-17,66.96
33.71,-78.15,19.43,GOES19,2026-04-17,66.97
33.71,-78.13,19.44,GOES19,2026-04-17,66.99
33.71,-78.11,19.46,GOES19,2026-04-17,67.03
33.71,-78.09,19.48,GOES19,2026-04-17,67.06
33.71,-78.07,19.5,GOES19,2026-04-17,67.1
33.71,-78.05,19.52,GOES19,2026-04-17,67.14
33.71,-78.03,19.52,GOES19,2026-04-17,67.14
33.71,-78.01,19.53,GOES19,2026-04-17,67.15
33.71,-77.99,19.52,GOES19,2026-04-17,67.14
33.71,-77.97,19.5,GOES19,2026-04-17,67.1
33.71,-77.95,19.5,GOES19,2026-04-17,67.1
33.71,-77.93,19.51,GOES19,2026-04-17,67.12
33.71,-77.91,19.54,GOES19,2026-04-17,67.17
33.71,-77.89,19.54,GOES19,2026-04-17,67.17
33.71,-77.87,19.52,GOES19,2026-04-17,67.14
33.71,-77.85,19.49,GOES19,2026-04-17,67.08
33.71,-77.83,19.43,GOES19,2026-04-17,66.97
33.71,-77.81,19.35,GOES19,2026-04-17,66.83
33.71,-77.79,19.12,GOES19,2026-04-17,66.42
33.71,-77.77,18.93,GOES19,2026-04-17,66.07
33.71,-77.75,18.91,GOES19,2026-04-17,66.04
33.71,-77.73,18.94,GOES19,2026-04-17,66.09
33.71,-77.71,19.01,GOES19,2026-04-17,66.22
33.71,-77.69,19.06,GOES19,2026-04-17,66.31
33.71,-77.67,19.17,GOES19,2026-04-17,66.51
33.71,-77.65,19.27,GOES19,2026-04-17,66.69
33.71,-77.63,19.26,GOES19,2026-04-17,66.67
33.71,-77.61,19.26,GOES19,2026-04-17,66.67
33.71,-77.59,19.28,GOES19,2026-04-17,66.7
33.71,-77.57,19.36,GOES19,2026-04-17,66.85
33.71,-77.55,19.57,GOES19,2026-04-17,67.23
33.71,-77.53,19.72,GOES19,2026-04-17,67.5
33.71,-77.51,19.81,GOES19,2026-04-17,67.66
33.71,-77.49,20.07,GOES19,2026-04-17,68.13
33.71,-77.47,20.53,GOES19,2026-04-17,68.95
33.71,-77.45,21.18,GOES19,2026-04-17,70.12
33.71,-77.43,21.61,GOES19,2026-04-17,70.9
33.71,-77.41,21.87,GOES19,2026-04-17,71.37
33.71,-77.39,22.21,GOES19,2026-04-17,71.98
33.71,-77.37,22.61,GOES19,2026-04-17,72.7
33.71,-77.35,23.01,GOES19,2026-04-17,73.42
33.71,-77.33,22.99,GOES19,2026-04-17,73.38
33.71,-77.31,23.0,GOES19,2026-04-17,73.4
33.71,-77.29,23.07,GOES19,2026-04-17,73.53
33.71,-77.27,23.15,GOES19,2026-04-17,73.67
33.71,-77.25,23.59,GOES19,2026-04-17,74.46
33.71,-77.23,23.94,GOES19,2026-04-17,75.09
33.71,-77.21,23.96,GOES19,2026-04-17,75.13
33.71,-77.19,24.09,GOES19,2026-04-17,75.36
33.71,-77.17,24.15,GOES19,2026-04-17,75.47
33.71,-77.15,24.26,GOES19,2026-04-17,75.67
33.71,-77.13,24.32,GOES19,2026-04-17,75.78
33.71,-77.11,24.35,GOES19,2026-04-17,75.83
33.71,-77.09,24.35,GOES19,2026-04-17,75.83
33.71,-77.07,24.34,GOES19,2026-04-17,75.81
33.71,-77.05,24.33,GOES19,2026-04-17,75.79
33.71,-77.03,24.31,GOES19,2026-04-17,75.76
33.71,-77.01,24.31,GOES19,2026-04-17,75.76
33.71,-76.99,24.31,GOES19,2026-04-17,75.76
33.71,-76.97,24.33,GOES19,2026-04-17,75.79
33.71,-76.95,24.39,GOES19,2026-04-17,75.9
33.71,-76.93,24.45,GOES19,2026-04-17,76.01
33.71,-76.91,24.53,GOES19,2026-04-17,76.15
33.71,-76.89,24.53,GOES19,2026-04-17,76.15
33.71,-76.87,24.52,GOES19,2026-04-17,76.14
33.71,-76.85,24.5,GOES19,2026-04-17,76.1
33.71,-76.83,24.47,GOES19,2026-04-17,76.05
33.71,-76.81,24.43,GOES19,2026-04-17,75.97
33.71,-76.79,24.35,GOES19,2026-04-17,75.83
33.71,-76.77,24.17,GOES19,2026-04-17,75.51
33.71,-76.75,24.13,GOES19,2026-04-17,75.43
33.71,-76.73,24.11,GOES19,2026-04-17,75.4
33.71,-76.71,24.1,GOES19,2026-04-17,75.38
33.71,-76.69,24.13,GOES19,2026-04-17,75.43
33.71,-76.67,24.2,GOES19,2026-04-17,75.56
33.71,-76.65,24.33,GOES19,2026-04-17,75.79
33.71,-76.63,24.36,GOES19,2026-04-17,75.85
33.71,-76.61,24.35,GOES19,2026-04-17,75.83
33.71,-76.59,24.36,GOES19,2026-04-17,75.85
33.71,-76.57,24.36,GOES19,2026-04-17,75.85
33.71,-76.45,24.29,GOES19,2026-04-17,75.72
33.71,-76.43,24.48,GOES19,2026-04-17,76.06
33.71,-76.41,24.54,GOES19,2026-04-17,76.17
33.71,-76.39,24.56,GOES19,2026-04-17,76.21
33.71,-76.37,24.6,GOES19,2026-04-17,76.28
33.71,-76.35,24.74,GOES19,2026-04-17,76.53
33.71,-76.33,24.83,GOES19,2026-04-17,76.69
33.71,-76.31,24.95,GOES19,2026-04-17,76.91
33.71,-76.29,24.98,GOES19,2026-04-17,76.96
33.71,-76.27,24.99,GOES19,2026-04-17,76.98
33.71,-76.25,25.0,GOES19,2026-04-17,77.0
33.71,-76.23,25.01,GOES19,2026-04-17,77.02
33.71,-76.21,25.05,GOES19,2026-04-17,77.09
33.71,-76.19,25.09,GOES19,2026-04-17,77.16
33.71,-76.17,25.12,GOES19,2026-04-17,77.22
33.71,-76.15,25.14,GOES19,2026-04-17,77.25
33.71,-76.13,25.16,GOES19,2026-04-17,77.29
33.71,-76.11,25.17,GOES19,2026-04-17,77.31
33.71,-76.09,25.18,GOES19,2026-04-17,77.32
33.71,-76.07,25.17,GOES19,2026-04-17,77.31
33.71,-76.05,25.15,GOES19,2026-04-17,77.27
33.71,-76.03,25.15,GOES19,2026-04-17,77.27
33.71,-76.01,25.17,GOES19,2026-04-17,77.31
33.71,-75.99,25.17,GOES19,2026-04-17,77.31
33.71,-75.97,25.17,GOES19,2026-04-17,77.31
33.71,-75.95,25.16,GOES19,2026-04-17,77.29
33.71,-75.93,25.18,GOES19,2026-04-17,77.32
33.71,-75.91,25.18,GOES19,2026-04-17,77.32
33.71,-75.89,25.16,GOES19,2026-04-17,77.29
33.71,-75.87,25.14,GOES19,2026-04-17,77.25
33.71,-75.85,25.12,GOES19,2026-04-17,77.22
33.71,-75.83,25.1,GOES19,2026-04-17,77.18
33.71,-75.81,25.1,GOES19,2026-04-17,77.18
33.71,-75.39,24.61,GOES19,2026-04-17,76.3
33.71,-75.37,24.62,GOES19,2026-04-17,76.32
33.71,-75.35,24.61,GOES19,2026-04-17,76.3
33.71,-75.33,24.57,GOES19,2026-04-17,76.23
33.71,-75.31,24.52,GOES19,2026-04-17,76.14
33.71,-75.29,24.48,GOES19,2026-04-17,76.06
33.71,-75.27,24.44,GOES19,2026-04-17,75.99
33.71,-75.25,24.38,GOES19,2026-04-17,75.88
33.71,-75.23,24.31,GOES19,2026-04-17,75.76
33.71,-75.21,24.19,GOES19,2026-04-17,75.54
33.71,-75.19,24.07,GOES19,2026-04-17,75.33
33.71,-75.17,23.98,GOES19,2026-04-17,75.16
33.71,-75.15,23.81,GOES19,2026-04-17,74.86
33.71,-75.13,23.65,GOES19,2026-04-17,74.57
33.71,-75.11,23.34,GOES19,2026-04-17,74.01
33.71,-75.09,23.01,GOES19,2026-04-17,73.42
33.71,-75.07,22.79,GOES19,2026-04-17,73.02
33.71,-75.05,22.76,GOES19,2026-04-17,72.97
33.71,-75.03,22.5,GOES19,2026-04-17,72.5
33.71,-75.01,22.17,GOES19,2026-04-17,71.91
33.71,-74.99,22.03,GOES19,2026-04-17,71.65
33.71,-74.97,21.98,GOES19,2026-04-17,71.56
33.71,-74.95,21.97,GOES19,2026-04-17,71.55
33.71,-74.93,21.96,GOES19,2026-04-17,71.53
33.71,-74.91,21.96,GOES19,2026-04-17,71.53
33.71,-74.89,21.96,GOES19,2026-04-17,71.53
33.71,-74.87,21.96,GOES19,2026-04-17,71.53
33.71,-74.85,21.96,GOES19,2026-04-17,71.53
33.71,-74.83,21.96,GOES19,2026-04-17,71.53
33.71,-74.81,21.96,GOES19,2026-04-17,71.53
33.71,-74.79,21.95,GOES19,2026-04-17,71.51
33.71,-74.77,21.93,GOES19,2026-04-17,71.47
33.71,-74.75,21.93,GOES19,2026-04-17,71.47
33.71,-74.73,21.92,GOES19,2026-04-17,71.46
33.71,-74.71,21.91,GOES19,2026-04-17,71.44
33.71,-74.69,21.9,GOES19,2026-04-17,71.42
33.71,-74.67,21.89,GOES19,2026-04-17,71.4
33.71,-74.65,21.88,GOES19,2026-04-17,71.38
33.71,-74.63,21.89,GOES19,2026-04-17,71.4
33.71,-74.61,21.9,GOES19,2026-04-17,71.42
33.71,-74.59,21.91,GOES19,2026-04-17,71.44
33.71,-74.57,21.93,GOES19,2026-04-17,71.47
33.71,-74.55,21.94,GOES19,2026-04-17,71.49
33.71,-74.53,21.94,GOES19,2026-04-17,71.49
33.71,-74.51,21.96,GOES19,2026-04-17,71.53
33.71,-74.49,21.96,GOES19,2026-04-17,71.53
33.71,-74.47,21.96,GOES19,2026-04-17,71.53
33.71,-74.45,21.95,GOES19,2026-04-17,71.51
33.71,-74.43,21.94,GOES19,2026-04-17,71.49
33.71,-74.41,21.93,GOES19,2026-04-17,71.47
33.71,-74.39,21.9,GOES19,2026-04-17,71.42
33.71,-74.37,21.84,GOES19,2026-04-17,71.31
33.71,-74.35,21.73,GOES19,2026-04-17,71.11
33.71,-74.33,21.63,GOES19,2026-04-17,70.93
33.71,-74.31,21.55,GOES19,2026-04-17,70.79
33.71,-74.29,21.49,GOES19,2026-04-17,70.68
33.71,-74.27,21.37,GOES19,2026-04-17,70.47
33.71,-74.25,21.14,GOES19,2026-04-17,70.05
33.71,-74.23,20.99,GOES19,2026-04-17,69.78
33.71,-74.21,20.9,GOES19,2026-04-17,69.62
33.71,-74.19,20.78,GOES19,2026-04-17,69.4
33.71,-74.17,20.71,GOES19,2026-04-17,69.28
33.71,-74.15,20.68,GOES19,2026-04-17,69.22
33.71,-74.13,20.66,GOES19,2026-04-17,69.19
33.71,-74.11,20.66,GOES19,2026-04-17,69.19
33.71,-74.09,20.7,GOES19,2026-04-17,69.26
33.71,-74.07,20.74,GOES19,2026-04-17,69.33
33.71,-74.05,20.75,GOES19,2026-04-17,69.35
33.71,-74.03,20.76,GOES19,2026-04-17,69.37
33.71,-74.01,20.75,GOES19,2026-04-17,69.35
33.71,-73.99,20.73,GOES19,2026-04-17,69.31
33.71,-73.97,20.65,GOES19,2026-04-17,69.17
33.71,-73.95,20.57,GOES19,2026-04-17,69.03
33.71,-73.93,20.51,GOES19,2026-04-17,68.92
33.71,-73.91,20.45,GOES19,2026-04-17,68.81
33.71,-73.89,20.37,GOES19,2026-04-17,68.67
33.71,-73.87,20.31,GOES19,2026-04-17,68.56
33.71,-73.85,20.29,GOES19,2026-04-17,68.52
33.71,-73.83,20.28,GOES19,2026-04-17,68.5
33.71,-73.81,20.28,GOES19,2026-04-17,68.5
33.71,-73.79,20.27,GOES19,2026-04-17,68.49
33.71,-73.77,20.25,GOES19,2026-04-17,68.45
33.71,-73.75,20.24,GOES19,2026-04-17,68.43
33.71,-73.73,20.23,GOES19,2026-04-17,68.41
33.71,-73.71,20.23,GOES19,2026-04-17,68.41
33.71,-73.69,20.23,GOES19,2026-04-17,68.41
33.71,-73.67,20.26,GOES19,2026-04-17,68.47
33.71,-73.65,20.28,GOES19,2026-04-17,68.5
33.71,-73.63,20.28,GOES19,2026-04-17,68.5
33.71,-73.61,20.39,GOES19,2026-04-17,68.7
33.71,-73.59,20.55,GOES19,2026-04-17,68.99
33.71,-73.57,20.65,GOES19,2026-04-17,69.17
33.71,-73.55,20.73,GOES19,2026-04-17,69.31
33.71,-73.53,20.74,GOES19,2026-04-17,69.33
33.71,-73.51,20.75,GOES19,2026-04-17,69.35
33.71,-73.49,20.76,GOES19,2026-04-17,69.37
33.71,-73.47,20.76,GOES19,2026-04-17,69.37
33.71,-73.45,20.75,GOES19,2026-04-17,69.35
33.71,-73.43,20.74,GOES19,2026-04-17,69.33
33.71,-73.41,20.71,GOES19,2026-04-17,69.28
33.71,-73.39,20.69,GOES19,2026-04-17,69.24
33.71,-73.37,20.69,GOES19,2026-04-17,69.24
33.71,-73.35,20.69,GOES19,2026-04-17,69.24
33.71,-73.33,20.67,GOES19,2026-04-17,69.21
33.71,-73.31,20.65,GOES19,2026-04-17,69.17
33.71,-73.29,20.65,GOES19,2026-04-17,69.17
33.71,-73.27,20.66,GOES19,2026-04-17,69.19
33.71,-73.25,20.66,GOES19,2026-04-17,69.19
33.71,-73.23,20.66,GOES19,2026-04-17,69.19
33.71,-73.21,20.66,GOES19,2026-04-17,69.19
33.71,-73.19,20.66,GOES19,2026-04-17,69.19
33.71,-73.17,20.67,GOES19,2026-04-17,69.21
33.71,-73.15,20.67,GOES19,2026-04-17,69.21
33.71,-73.13,20.66,GOES19,2026-04-17,69.19
33.71,-73.11,20.65,GOES19,2026-04-17,69.17
33.71,-73.09,20.65,GOES19,2026-04-17,69.17
33.71,-73.07,20.64,GOES19,2026-04-17,69.15
33.71,-73.05,20.64,GOES19,2026-04-17,69.15
33.71,-73.03,20.64,GOES19,2026-04-17,69.15
33.71,-73.01,20.63,GOES19,2026-04-17,69.13
33.71,-72.99,20.63,GOES19,2026-04-17,69.13
33.71,-72.97,20.62,GOES19,2026-04-17,69.12
33.71,-72.95,20.62,GOES19,2026-04-17,69.12
33.71,-72.93,20.64,GOES19,2026-04-17,69.15
33.71,-72.91,20.65,GOES19,2026-04-17,69.17
33.71,-72.89,20.66,GOES19,2026-04-17,69.19
33.71,-72.87,20.67,GOES19,2026-04-17,69.21
33.71,-72.85,20.67,GOES19,2026-04-17,69.21
33.71,-72.83,20.67,GOES19,2026-04-17,69.21
33.71,-72.81,20.67,GOES19,2026-04-17,69.21
33.71,-72.79,20.67,GOES19,2026-04-17,69.21
33.71,-72.77,20.67,GOES19,2026-04-17,69.21
33.71,-72.75,20.65,GOES19,2026-04-17,69.17
33.71,-72.73,20.65,GOES19,2026-04-17,69.17
33.71,-72.71,20.66,GOES19,2026-04-17,69.19
33.71,-72.69,20.66,GOES19,2026-04-17,69.19
33.71,-72.67,20.66,GOES19,2026-04-17,69.19
33.71,-72.65,20.66,GOES19,2026-04-17,69.19
33.71,-72.63,20.65,GOES19,2026-04-17,69.17
33.71,-72.61,20.64,GOES19,2026-04-17,69.15
33.71,-72.59,20.65,GOES19,2026-04-17,69.17
33.71,-72.57,20.65,GOES19,2026-04-17,69.17
33.71,-72.55,20.64,GOES19,2026-04-17,69.15
33.71,-72.53,20.65,GOES19,2026-04-17,69.17
33.71,-72.51,20.64,GOES19,2026-04-17,69.15
33.71,-72.49,20.63,GOES19,2026-04-17,69.13
33.71,-72.47,20.62,GOES19,2026-04-17,69.12
33.71,-72.45,20.62,GOES19,2026-04-17,69.12
33.71,-72.43,20.62,GOES19,2026-04-17,69.12
33.71,-72.41,20.62,GOES19,2026-04-17,69.12
33.71,-72.39,20.63,GOES19,2026-04-17,69.13
33.71,-72.37,20.64,GOES19,2026-04-17,69.15
33.71,-72.35,20.64,GOES19,2026-04-17,69.15
33.71,-72.33,20.64,GOES19,2026-04-17,69.15
33.71,-72.31,20.64,GOES19,2026-04-17,69.15
33.71,-72.29,20.65,GOES19,2026-04-17,69.17
33.71,-72.27,20.66,GOES19,2026-04-17,69.19
33.71,-72.25,20.66,GOES19,2026-04-17,69.19
33.71,-72.23,20.65,GOES19,2026-04-17,69.17
33.71,-72.21,20.63,GOES19,2026-04-17,69.13
33.73,-78.83,20.32,GOES19,2026-04-17,68.58
33.73,-78.81,20.34,GOES19,2026-04-17,68.61
33.73,-78.79,20.21,GOES19,2026-04-17,68.38
33.73,-78.77,19.79,GOES19,2026-04-17,67.62
33.73,-78.75,19.78,GOES19,2026-04-17,67.6
33.73,-78.73,19.49,GOES19,2026-04-17,67.08
33.73,-78.71,19.3,GOES19,2026-04-17,66.74
33.73,-78.69,19.2,GOES19,2026-04-17,66.56
33.73,-78.67,19.11,GOES19,2026-04-17,66.4
33.73,-78.65,19.03,GOES19,2026-04-17,66.25
33.73,-78.63,18.97,GOES19,2026-04-17,66.15
33.73,-78.61,18.96,GOES19,2026-04-17,66.13
33.73,-78.59,18.96,GOES19,2026-04-17,66.13
33.73,-78.57,18.96,GOES19,2026-04-17,66.13
33.73,-78.55,18.96,GOES19,2026-04-17,66.13
33.73,-78.53,18.98,GOES19,2026-04-17,66.16
33.73,-78.51,19.0,GOES19,2026-04-17,66.2
33.73,-78.49,19.02,GOES19,2026-04-17,66.24
33.73,-78.47,19.03,GOES19,2026-04-17,66.25
33.73,-78.45,19.05,GOES19,2026-04-17,66.29
33.73,-78.43,19.11,GOES19,2026-04-17,66.4
33.73,-78.41,19.15,GOES19,2026-04-17,66.47
33.73,-78.39,19.19,GOES19,2026-04-17,66.54
33.73,-78.37,19.21,GOES19,2026-04-17,66.58
33.73,-78.35,19.23,GOES19,2026-04-17,66.61
33.73,-78.33,19.24,GOES19,2026-04-17,66.63
33.73,-78.31,19.25,GOES19,2026-04-17,66.65
33.73,-78.29,19.29,GOES19,2026-04-17,66.72
33.73,-78.27,19.33,GOES19,2026-04-17,66.79
33.73,-78.25,19.37,GOES19,2026-04-17,66.87
33.73,-78.23,19.41,GOES19,2026-04-17,66.94
33.73,-78.21,19.45,GOES19,2026-04-17,67.01
33.73,-78.19,19.46,GOES19,2026-04-17,67.03
33.73,-78.17,19.46,GOES19,2026-04-17,67.03
33.73,-78.15,19.46,GOES19,2026-04-17,67.03
33.73,-78.13,19.47,GOES19,2026-04-17,67.05
33.73,-78.11,19.48,GOES19,2026-04-17,67.06
33.73,-78.09,19.49,GOES19,2026-04-17,67.08
33.73,-78.07,19.51,GOES19,2026-04-17,67.12
33.73,-78.05,19.51,GOES19,2026-04-17,67.12
33.73,-78.03,19.5,GOES19,2026-04-17,67.1
33.73,-78.01,19.5,GOES19,2026-04-17,67.1
33.73,-77.99,19.49,GOES19,2026-04-17,67.08
33.73,-77.97,19.49,GOES19,2026-04-17,67.08
33.73,-77.95,19.49,GOES19,2026-04-17,67.08
33.73,-77.93,19.51,GOES19,2026-04-17,67.12
33.73,-77.91,19.54,GOES19,2026-04-17,67.17
33.73,-77.89,19.56,GOES19,2026-04-17,67.21
33.73,-77.87,19.56,GOES19,2026-04-17,67.21
33.73,-77.85,19.54,GOES19,2026-04-17,67.17
33.73,-77.83,19.5,GOES19,2026-04-17,67.1
33.73,-77.81,19.41,GOES19,2026-04-17,66.94
33.73,-77.79,19.19,GOES19,2026-04-17,66.54
33.73,-77.77,19.17,GOES19,2026-04-17,66.51
33.73,-77.75,19.0,GOES19,2026-04-17,66.2
33.73,-77.73,19.1,GOES19,2026-04-17,66.38
33.73,-77.71,19.23,GOES19,2026-04-17,66.61
33.73,-77.69,19.26,GOES19,2026-04-17,66.67
33.73,-77.67,19.29,GOES19,2026-04-17,66.72
33.73,-77.65,19.31,GOES19,2026-04-17,66.76
33.73,-77.63,19.31,GOES19,2026-04-17,66.76
33.73,-77.61,19.33,GOES19,2026-04-17,66.79
33.73,-77.59,19.54,GOES19,2026-04-17,67.17
33.73,-77.57,19.65,GOES19,2026-04-17,67.37
33.73,-77.55,19.72,GOES19,2026-04-17,67.5
33.73,-77.53,20.11,GOES19,2026-04-17,68.2
33.73,-77.51,20.22,GOES19,2026-04-17,68.4
33.73,-77.49,20.58,GOES19,2026-04-17,69.04
33.73,-77.47,21.23,GOES19,2026-04-17,70.21
33.73,-77.45,21.59,GOES19,2026-04-17,70.86
33.73,-77.43,21.92,GOES19,2026-04-17,71.46
33.73,-77.41,21.99,GOES19,2026-04-17,71.58
33.73,-77.39,22.38,GOES19,2026-04-17,72.28
33.73,-77.37,22.55,GOES19,2026-04-17,72.59
33.73,-77.35,22.92,GOES19,2026-04-17,73.26
33.73,-77.33,23.03,GOES19,2026-04-17,73.45
33.73,-77.31,23.08,GOES19,2026-04-17,73.54
33.73,-77.29,23.17,GOES19,2026-04-17,73.71
33.73,-77.27,23.67,GOES19,2026-04-17,74.61
33.73,-77.25,23.94,GOES19,2026-04-17,75.09
33.73,-77.23,24.21,GOES19,2026-04-17,75.58
33.73,-77.21,24.18,GOES19,2026-04-17,75.52
33.73,-77.19,24.18,GOES19,2026-04-17,75.52
33.73,-77.17,24.25,GOES19,2026-04-17,75.65
33.73,-77.15,24.3,GOES19,2026-04-17,75.74
33.73,-77.13,24.34,GOES19,2026-04-17,75.81
33.73,-77.11,24.36,GOES19,2026-04-17,75.85
33.73,-77.09,24.36,GOES19,2026-04-17,75.85
33.73,-77.07,24.36,GOES19,2026-04-17,75.85
33.73,-77.05,24.34,GOES19,2026-04-17,75.81
33.73,-77.03,24.32,GOES19,2026-04-17,75.78
33.73,-77.01,24.32,GOES19,2026-04-17,75.78
33.73,-76.99,24.32,GOES19,2026-04-17,75.78
33.73,-76.97,24.33,GOES19,2026-04-17,75.79
33.73,-76.95,24.38,GOES19,2026-04-17,75.88
33.73,-76.93,24.44,GOES19,2026-04-17,75.99
33.73,-76.91,24.52,GOES19,2026-04-17,76.14
33.73,-76.89,24.53,GOES19,2026-04-17,76.15
33.73,-76.87,24.52,GOES19,2026-04-17,76.14
33.73,-76.85,24.51,GOES19,2026-04-17,76.12
33.73,-76.83,24.5,GOES19,2026-04-17,76.1
33.73,-76.81,24.47,GOES19,2026-04-17,76.05
33.73,-76.79,24.41,GOES19,2026-04-17,75.94
33.73,-76.77,24.32,GOES19,2026-04-17,75.78
33.73,-76.75,24.18,GOES19,2026-04-17,75.52
33.73,-76.73,24.12,GOES19,2026-04-17,75.42
33.73,-76.71,24.09,GOES19,2026-04-17,75.36
33.73,-76.69,24.11,GOES19,2026-04-17,75.4
33.73,-76.67,24.16,GOES19,2026-04-17,75.49
33.73,-76.65,24.3,GOES19,2026-04-17,75.74
33.73,-76.63,24.36,GOES19,2026-04-17,75.85
33.73,-76.61,24.38,GOES19,2026-04-17,75.88
33.73,-76.59,24.39,GOES19,2026-04-17,75.9
33.73,-76.57,24.36,GOES19,2026-04-17,75.85
33.73,-76.45,24.38,GOES19,2026-04-17,75.88
33.73,-76.43,24.5,GOES19,2026-04-17,76.1
33.73,-76.41,24.54,GOES19,2026-04-17,76.17
33.73,-76.39,24.56,GOES19,2026-04-17,76.21
33.73,-76.37,24.61,GOES19,2026-04-17,76.3
33.73,-76.35,24.76,GOES19,2026-04-17,76.57
33.73,-76.33,24.83,GOES19,2026-04-17,76.69
33.73,-76.31,24.91,GOES19,2026-04-17,76.84
33.73,-76.29,24.95,GOES19,2026-04-17,76.91
33.73,-76.27,24.97,GOES19,2026-04-17,76.95
33.73,-76.25,24.99,GOES19,2026-04-17,76.98
33.73,-76.23,24.99,GOES19,2026-04-17,76.98
33.73,-76.21,25.04,GOES19,2026-04-17,77.07
33.73,-76.19,25.08,GOES19,2026-04-17,77.14
33.73,-76.17,25.1,GOES19,2026-04-17,77.18
33.73,-76.15,25.13,GOES19,2026-04-17,77.23
33.73,-76.13,25.14,GOES19,2026-04-17,77.25
33.73,-76.11,25.15,GOES19,2026-04-17,77.27
33.73,-76.09,25.16,GOES19,2026-04-17,77.29
33.73,-76.07,25.15,GOES19,2026-04-17,77.27
33.73,-76.05,25.14,GOES19,2026-04-17,77.25
33.73,-76.03,25.14,GOES19,2026-04-17,77.25
33.73,-76.01,25.16,GOES19,2026-04-17,77.29
33.73,-75.99,25.17,GOES19,2026-04-17,77.31
33.73,-75.97,25.17,GOES19,2026-04-17,77.31
33.73,-75.95,25.17,GOES19,2026-04-17,77.31
33.73,-75.93,25.18,GOES19,2026-04-17,77.32
33.73,-75.91,25.19,GOES19,2026-04-17,77.34
33.73,-75.89,25.16,GOES19,2026-04-17,77.29
33.73,-75.87,25.15,GOES19,2026-04-17,77.27
33.73,-75.85,25.12,GOES19,2026-04-17,77.22
33.73,-75.83,25.11,GOES19,2026-04-17,77.2
33.73,-75.81,25.13,GOES19,2026-04-17,77.23
33.73,-75.79,25.12,GOES19,2026-04-17,77.22
33.73,-75.77,25.13,GOES19,2026-04-17,77.23
33.73,-75.39,24.7,GOES19,2026-04-17,76.46
33.73,-75.37,24.66,GOES19,2026-04-17,76.39
33.73,-75.35,24.64,GOES19,2026-04-17,76.35
33.73,-75.33,24.61,GOES19,2026-04-17,76.3
33.73,-75.31,24.56,GOES19,2026-04-17,76.21
33.73,-75.29,24.51,GOES19,2026-04-17,76.12
33.73,-75.27,24.47,GOES19,2026-04-17,76.05
33.73,-75.25,24.42,GOES19,2026-04-17,75.96
33.73,-75.23,24.36,GOES19,2026-04-17,75.85
33.73,-75.21,24.28,GOES19,2026-04-17,75.7
33.73,-75.19,24.14,GOES19,2026-04-17,75.45
33.73,-75.17,24.04,GOES19,2026-04-17,75.27
33.73,-75.15,23.88,GOES19,2026-04-17,74.98
33.73,-75.13,23.78,GOES19,2026-04-17,74.8
33.73,-75.11,23.45,GOES19,2026-04-17,74.21
33.73,-75.09,23.19,GOES19,2026-04-17,73.74
33.73,-75.07,22.92,GOES19,2026-04-17,73.26
33.73,-75.05,22.86,GOES19,2026-04-17,73.15
33.73,-75.03,22.76,GOES19,2026-04-17,72.97
33.73,-75.01,22.4,GOES19,2026-04-17,72.32
33.73,-74.99,22.09,GOES19,2026-04-17,71.76
33.73,-74.97,22.03,GOES19,2026-04-17,71.65
33.73,-74.95,22.0,GOES19,2026-04-17,71.6
33.73,-74.93,21.98,GOES19,2026-04-17,71.56
33.73,-74.91,21.98,GOES19,2026-04-17,71.56
